Exhibit Number,Description,Date,Keywords,File Type,Category,Priority
A-10,Léger Marketing Focus Group Report - Parental and child attitudes in Quebec,2001-06-01,leger marketing focus group quebec,pdf,COMMUNICATION,6
A-1,Photograph of Respondent Craig Schulz's black eye resulting from an assault by the Applicant.,2024-11-19,black eye photo craig assault,jpg,SAFETY,9
A-2,Text message from Applicant Emma Ryan admitting to hitting the Respondent: 'I'm really sorry for hitting you Craig'.,2024-11-21,text apology hitting admission screenshot,jpg,PERJURY,10
A-3,Text message from maternal grandmother Jane Ryan regarding a methamphetamine purchase for the Applicant.,2024-12-08,jane ryan meth purchase mailbox text,jpg,SAFETY,8
A-4,Photographic evidence of infant Harper's severe and bleeding diaper rash while under Applicant's sole care.,2024-12-09,harper diaper rash neglect photo,jpg,SAFETY,7
A-5,Video recording (L-1/L-2) of the December 9 assault and presence of methamphetamine smoke in the apartment.,2024-12-09,video assault meth smoke evidence,mp4,SAFETY,10
A-6,Video/Photo of Applicant Emma Ryan with an active methamphetamine pipe and torch with infant Harper present.,2025-05-22,video emma meth pipe torch harper,mp4,SAFETY,10
A-7,Saint John Police File #25-2390069 regarding criminal assault charge against Emma Ryan.,2025-09-25,police file sjpf assault charge,pdf,PERJURY,10
A-8,Interim Court Order mandating Respondent's access rights (Sundays 8-4 PM).,2025-03-22,interim order court access schedule,pdf,OBSTRUCTION,9
A-9,Access Denial Calendar Log documenting 129 consecutive days of denied access.,2025-10-10,access denial log contempt days,pdf,OBSTRUCTION,9
A-10,Email from Applicant Emma Ryan stating: 'You won't see Harper until we see a judge in October'.,2025-06-18,email access denial judge october,pdf,OBSTRUCTION,9
A-11,Financial records and E-transfers showing deposits to drug dealers by Applicant.,2025-05-31,etransfer drug dealer financial records,pdf,FINANCIAL,8
A-12,Respondent's 13-panel drug test result (Negative).,2025-01-29,drug test negative craig results,pdf,INTEGRITY,9
A-13,Applicant's drug test result (Negative-Dilute).,2025-01-06,emma drug test dilute result,pdf,INTEGRITY,9
A-14,Applicant's Affidavit commissioned by Kerrie Ryan (sister-in-law).,2024-12-16,void affidavit kerrie ryan commissioner,pdf,INTEGRITY,9
A-15,Recorded phone call where Jane Ryan states: 'If you want to see the baby you can take ME to court yourself'.,2025-10-22,recorded call jane ryan contempt,mp4,OBSTRUCTION,8
A-1,Police Email - confirmation of Emma's arrest/assault charge confirmation,2025-09-26,9-26-25-emma-arrest-email,pdf,PERJURY,10
A-2,Emma Assault Charge Email Confirmation (alternative version),2025-09-25,emma-assault-charge-email-confirmation,pdf,PERJURY,10
A-3,Video of physical assault - Emma's punch incident,2024-11-19,emmapunch111924video,mp4,SAFETY,10
A-4,Emergency Custody Filing - Affidavit documenting emergency conditions,2024-11-12,harperryan-emerg-custody-filing,pdf,SAFETY,9
A-5,Email documenting truth of the domestic situation,2025-10-08,truth,eml,COMMUNICATION,8
A-6,Gmail - Urgent denial of court-ordered pickup for Harper,2025-07-13,denial-court-ordered-pickup,pdf,OBSTRUCTION,9
A-7,Photo evidence of child rash potentially linked to care,2024-12-09,harper-rash,jpg,SAFETY,7
A-8,Formal Complaint Against Jacqueline Gallant - Conflict of Interest,2025-09-30,complaint-jacqueline-gallant-misconduct,pdf,INTEGRITY,8
A-9,Psychological Analysis of Emma's Email Behavior,2025-10-03,psychological-analysis-emma-behavior,pdf,INTEGRITY,6
A-10,Text message screenshot - admission of lying or lie context,2025-08-02,emmalieexhibit754,pdf,PERJURY,9
A-11,Video documentation of Emma assault incident,2025-11-30,video-emmaassault-11-30-2025,mov,SAFETY,10
A-12,Evidence log including Important Discussions July 11th,2025-07-22,custody-logged-july11th,docx,COMMUNICATION,7
A-13,Disclosure of wrongdoing form - Formal reporting,2025-09-30,wrongdoing-disclosure-form,pdf,OBSTRUCTION,8
A-14,NBASW Complaint Decision regarding Jacqueline Gallant,2025-03-06,nbasw-complaint-decision,pdf,INTEGRITY,8
A-1,Glossary of Social Work Terms prepared for the Canadian Human Rights Commission by Michelle Sturtridge.,2013-02-01,glossary social work terms commission sturtridge,pdf,COMMUNICATION,4
A-2,First Nations Child and Family Services Joint National Policy Review Final Report by Dr. Rose-Alma MacDonald & Dr. Peter Ladd.,2000-01-01,national policy review final report macdonald ladd afn diand,pdf,INTEGRITY,8
A-3,"Department of Indian and Northern Affairs Canada, First Nations Child and Family Services National Program Manual.",2004-01-01,fncfs national program manual inac,pdf,INTEGRITY,7
A-4,Memorandum of Agreement Respecting Welfare Programs for Indians between Canada and Ontario (1965 Agreement).,1966-05-19,memorandum agreement welfare programs indians ontario 1965,pdf,FINANCIAL,9
A-5,Wen:De We Are Coming to the Light of Day report by Dr. Cindy Blackstock et al.,2005-01-01,wende light of day blackstock fncfcs,pdf,SAFETY,10
A-6,"May 2008 Report of the Auditor General of Canada to the House of Commons, Chapter 4, FNCFS Program.",2008-05-01,auditor general report 2008 chapter 4 fncfs inac,pdf,FINANCIAL,9
A-7,Affidavit of Mr. Jeremy Kolodziej regarding the Indian Residential School Settlement Agreement (IRSSA).,2019-04-04,affidavit kolodziej irssa common experience payment,pdf,INTEGRITY,7
A-8,Fact Sheet – First Nations Child and Family Services (October 2006).,2006-10-01,fact sheet fncfs inac 2006,pdf,COMMUNICATION,5
A-9,"Government of Canada, Statement of Apology to former students of Indian Residential Schools.",2008-06-11,statement apology residential schools 2008,pdf,INTEGRITY,6
A-10,Cross-examination of Corinne Baggley concerning delays in providing services (a bed) to a child with respiratory distress.,2014-05-01,baggley cross examination child respiratory bed delay,pdf,SAFETY,10
A-11,Internal Memo: The Way Forward for the Federal Response to Jordan’s Principle – Proposed Definitions.,2016-02-11,way forward jordans principle proposed definitions memo,pdf,OBSTRUCTION,10
A-12,Email Exchange: First Nations mother and Health Canada regarding busing for a child with cerebral palsy.,2017-01-20,email health canada cerebral palsy busing request,png,COMMUNICATION,9
A-1,Volume of 169 documents produced by counsel for David Dunsmuir in the adjudication hearing against the Province of New Brunswick.,2005-01-10,dunsmuir adjudication 169 documents volume,pdf,COMMUNICATION,5
A-2,Affidavit and documentary evidence submitted by Indian Bands supporting claims of aboriginal title and financial impecuniosity.,2000-01-01,bands affidavit aboriginal title financial evidence,pdf,FINANCIAL,8
A-3,"Personal Name Record (PNR) tracing the itinerary of Saief Mohammad and family, showing notes regarding mechanical failure and rebooking.",2007-06-21,pnr air canada mohammad itinerary notes,png,COMMUNICATION,7
A-4,"Exhibit P-5: Documentation of travel expenses and upgrades for Saief Mohammad, Moona Mohammad, and Heeba Mohammad.",2007-08-25,exhibit p5 travel receipts kuwait airways,jpg,FINANCIAL,6
A-5,"Passenger tickets for travel between Nigeria and the United States, bearing World Airways and Ritetime logos.",2003-12-01,world airways ritetime passenger ticket,pdf,FINANCIAL,9
A-6,Email from Robert DuBois to the US Ambassador regarding the planned cessation of World Airways flights in Nigeria.,2003-12-01,dubois email ambassador confidential cessation,pdf,OBSTRUCTION,10
A-7,Investigation report by the Canada Industrial Relations Board officer regarding job positions and bargaining unit inclusion.,2009-06-03,cirb investigation report job positions,pdf,INTEGRITY,4
A-8,Affidavit of a Ministerial delegate regarding the reliance on the Income Tax Act in refusing taxpayer relief.,2010-01-01,minister delegate affidavit income tax act,pdf,INTEGRITY,2
A-9,Uncontested affidavit evidence submitted by the Consumers' Association of Canada (CAC) regarding membership fees and counsel status.,1980-01-04,cac affidavit membership fees counsel,pdf,FINANCIAL,5
A-10,Reprimand letter to David Dunsmuir from the Regional Director regarding an inappropriate email to the Chief Justice.,2002-07-01,dunsmuir reprimand letter chief justice email,pdf,COMMUNICATION,3
A-1,Auditor General Spring 2024 Reports - Summary of spending and audits,2024-06-04,auditor general spring 2024 report,pdf,INTEGRITY,8
A-2,Auditor General Report on Sustainable Development Technology Canada (SDTC) - Green Slush Fund Scandal,2024-06-04,sdtc green slush fund auditor report conflict interest,pdf,FINANCIAL,10
A-3,Auditor General Report on McKinsey Professional Services Contracts,2024-06-04,mckinsey professional services contract ag report,pdf,FINANCIAL,9
A-4,Order Paper Question Response - Corporate Handouts to Loblaws and Costco,2024-06-04,order paper loblaw costco corporate handouts 25 million,pdf,FINANCIAL,7
A-5,Bread Price-Fixing Scheme Evidence - Historical Record,2024-06-04,bread price fixing scandal grocery collation,pdf,INTEGRITY,8
A-6,Nutrition North Program Performance Data and Study,2024-06-04,nutrition north subsidy north west company ceo bonus,pdf,FINANCIAL,7
A-7,National Security and Intelligence Committee of Parliamentarians (NSICOP) Report on Foreign Interference,2024-06-03,nsicop foreign interference report parliamentarians,pdf,INTEGRITY,10
A-8,Mass Casualty Commission Report - Recommendations for Federal Policing,2024-06-04,mass casualty commission rcmp oversight recommendations,pdf,SAFETY,6
A-9,B.C. Supreme Court Ruling on Fairy Creek RCMP Conduct,2021-08-01,bc supreme court fairy creek rcmp media exclusion,pdf,OBSTRUCTION,7
A-10,Human Rights Watch Report: 'Those Who Take Us Away',2013-01-01,human rights watch rcmp indigenous women assault,pdf,SAFETY,9
A-1,Tenancy Agreement - Legal contract between tenant and landlord,Unknown,tenancy agreement contract signed,pdf,COMMUNICATION,8
A-2,Condition Inspection Report - Documentation of rental unit state at move-in/move-out,Unknown,condition inspection report movein moveout,pdf,INTEGRITY,7
A-3,"Notice of Hearing - RTB document with date, time, and method of dispute resolution",Unknown,notice hearing rtb dispute,pdf,COMMUNICATION,9
A-4,Medical Authorization - Form authorizing release of physical condition information,Unknown,medical authorization release records,pdf,INTEGRITY,6
A-5,Dispute Resolution Decision - Legally-binding decision made by an RTB Arbitrator,Unknown,rtb decision arbitrator binding,pdf,INTEGRITY,10
A-6,Writ of Possession - BC Supreme Court document to legally remove a tenant,Unknown,writ possession supreme court eviction,pdf,SAFETY,10
A-7,1 Month Notice to End Tenancy - Eviction notice for cause (noise/hoarding),2021-05-07,eviction notice cause noise hoarding,pdf,SAFETY,9
A-8,Statement of Contributions - Record of CPP earnings and contributions,Unknown,cpp statement contributions earnings mqp,pdf,FINANCIAL,8
A-9,Retainer Agreement - Contract for legal advocacy services,Unknown,retainer agreement advocate client,pdf,COMMUNICATION,5
A-10,Digital Evidence - Photographs of suite condition after repairs,2021-05-01,photos suite condition evidence,jpg,INTEGRITY,8
A-1,Ontario Court Services Division Annual Report 2008/2009,2009-04-30,ontario court services division annual report 2008 2009,pdf,FINANCIAL,4
A-2,Katelynn Sampson Custody Order - Court File No. F0-07-11277-00,2008-06-06,katelynn sampson custody order transer donna irving,pdf,SAFETY,10
A-3,Short note to the Court from 14-year-old child in T.B.M. v. C.J.M.,2009-01-01,child note speak court confusion tbm cjm,jpg,COMMUNICATION,6
A-4,Police Record - Assault Charges against Donna Irving and Wayne Johnson,2008-08-03,police record assault murder charges katelynn sampson,pdf,SAFETY,10
A-5,Ontario Family Mediation Service RFP - Request for Proposals,2011-01-01,ontario family mediation service rfp request proposals,pdf,INTEGRITY,5
A-6,Ellen Gesmer's 'Custody Speech' - Judicial Campaign Material,2010-09-28,ellen gesmer custody speech settlement pre trial,pdf,COMMUNICATION,7
A-7,Undated note from child to mother's affidavit in E.A. v. D.D.P.,Unknown,undated child note affidavit ea ddp,jpg,COMMUNICATION,3
A-8,Statistics Canada - Income of Canadians Report,2009-06-03,statistics canada income canadians 2007,pdf,FINANCIAL,2
A-1,Screenshot showing potential custody related evidence,2025-07-16,screenshot 20250716 000155,png,COMMUNICATION,5
A-2,Screenshot record for custody dispute,2025-07-15,screenshot 20250715 012142,png,COMMUNICATION,5
A-3,"Interim Order Ryan v. Schulz - March 24, 2025",2025-03-24,fdsj7392024 ryan schulz interim order,pdf,INTEGRITY,8
A-4,Emergency Custody Filing Affidavit - Transcribed,2024-11-12,harperryan 11122024 emerg custody filing transcribed,pdf,SAFETY,9
A-5,Emma Assault Charge Email Confirmation,2025-09-25,emma assault charge email confirmation,pdf,PERJURY,10
A-6,Emma Arrest Email,2025-09-26,92625 emma arrest email,pdf,SAFETY,10
A-7,"Video of Emma Assault - November 30, 2025",2025-11-30,video emmaassault 11302025,mov,SAFETY,10
A-8,Harper Rash Record,2024-12-09,harper rash 12092024,jpg,SAFETY,7
A-9,Voluntary Child Support Offer - Craig Schulz,2025-10-08,voluntary child support offer updated craig schulz,docx,FINANCIAL,6
A-10,Psychological Analysis of Email Behavior,2025-10-03,psychological analysis emma email behavior,pdf,COMMUNICATION,7
A-11,Formal Complaint Against Jacqueline Gallant - Conflict of Interest,2025-09-30,formal complaint jacqueline gallant conflict interest,pdf,INTEGRITY,8
A-12,Emma Punch Video,2024-11-19,emmapunch 111924 video,mp4,SAFETY,10
A-13,Emma Update Full Email Archive,2025-09-03,0903emmaupdatefullemail,pdf,COMMUNICATION,5
A-14,Statement of Position for Case Conference,2025-10-06,statement position case conference,docx,INTEGRITY,7
A-15,Urgent Medical History and Substance Exposure Info,2025-06-19,urgent information harper ryan medical history substance exposure,pdf,SAFETY,9
A-1,Text message acknowledging debt,2016-06-02,text message debt acknowledgement,jpg,COMMUNICATION,10
A-2,Record of non-consummation based on religious belief,2021-11-10,annulment religious belief non-consummation,pdf,INTEGRITY,8
A-3,Mother's withholding of children's health cards and ID,2021-10-28,health card withholding vaccination,pdf,SAFETY,7
A-4,Intimate and private photographs posted online without consent,2016-12-31,private photographs online harassment,jpg,SAFETY,10
A-5,With prejudice settlement offer regarding children's return to Dubai,2020-11-01,settlement offer dubai child return,pdf,COMMUNICATION,9
A-6,RCMP investigation report on sexual abuse allegations,2021-02-11,rcmp investigation false allegations,pdf,PERJURY,10
A-7,Marriage Contract signed with Independent Legal Advice,2016-01-01,marriage contract disclosure,pdf,FINANCIAL,9
A-8,Financial Statements for high income support calculation,2021-02-01,financial statement high income support,pdf,FINANCIAL,8
A-9,Zoom trial audio of unidentified male regarding 'soft' drugs,2021-02-01,zoom audio drugs recording,mp4,SAFETY,6
A-10,Corporate search for 2782708 Ontario Inc.,2020-12-03,corporate search ownership fraud,pdf,INTEGRITY,9
A-1,Photograph of black eye sustained by Craig Schulz due to alleged assault by Emma Ryan.,2024-11-19,black eye photo assault injury,jpg,SAFETY,10
A-2,"Text message admission from Emma Ryan: ""I'm really sorry for hitting you, Craig. I just don't know what else to do when I get that angry.""",2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Text message screenshot where Emma Ryan admits to methamphetamine exposure to infant via breast milk.,2024-12-10,text meth exposure breast milk,jpg,SAFETY,10
A-4,Photograph of infant Harper with severe medically significant diaper rash.,2024-12-09,diaper rash neglect photo,jpg,SAFETY,8
A-5,Drug test report for Emma Ryan showing a 'negative dilute' result.,2025-01-06,drug test negative dilute report,pdf,OBSTRUCTION,9
A-6,Video/Screenshot allegedly showing Emma Ryan cleaning a meth/crack pipe in the maternal home near the child.,2025-05-22,meth pipe cleaning paraphernalia,jpg,SAFETY,10
A-7,Interim Parenting Order granting specific Sunday parenting time to Craig Schulz.,2025-10-06,interim order parenting schedule,pdf,COMMUNICATION,7
A-8,"Email from Emma Ryan stating ""Won't see Harper until we see a judge in October.""",2025-06-18,email access refusal judge october,pdf,OBSTRUCTION,10
A-9,"Text message from Jane Ryan stating ""If you want to see Harper, you can take me to court yourself.""",2025-10-22,jane ryan text take me to court,jpg,OBSTRUCTION,10
A-10,Financial records showing e-transfers from Emma Ryan to alleged drug supplier Tony Baker.,Unknown,etransfer financial drug dealer records,pdf,FINANCIAL,9
A-11,Video Index documenting Emma Ryan throwing objects and hitting baby gate/child.,2024-12-09,video assault frying pan gate,mp4,SAFETY,10
A-12,Formal complaint against DSD social worker Jaclyn Galant filed with NBSW.,2025-02-10,nbasw complaint social worker galant,pdf,INTEGRITY,8
A-13,Communication log showing 129 consecutive days of access denial and 18 missed Sunday visits.,2025-10-10,denial log access 129 days,pdf,OBSTRUCTION,10
A-14,Email bounce-back notifications from Emma Ryan's accounts on infant's 1st birthday.,2025-11-12,birthday email bounce full mailbox,jpg,COMMUNICATION,8
A-15,Photograph of Emma Ryan holding a meth pipe and a propane torch simultaneously.,2025-05-22,meth pipe propane torch photo,jpg,SAFETY,10
A-1,"Police Confirmation of Applicant's criminal assault charge regarding Dec 9, 2024 incident",2025-09-26,police confirmation assault charge emma ryan,pdf,SAFETY,10
A-2,Text Message Admission - Emma Ryan apologizing for hitting Craig Schulz,2024-11-21,text admission emma hitting craig screenshot,jpg,PERJURY,10
A-3,Admission of Methamphetamine use during pregnancy,Unknown,methamphetamine use pregnancy admission,pdf,SAFETY,10
A-4,Photographic evidence of severe diaper rash on infant Harper,2024-12-09,harper diaper rash neglect photo,jpg,SAFETY,8
A-5,Applicant's drug test result showing 'Negative - Dilute',2025-01-29,drug test negative dilute emma ryan,pdf,INTEGRITY,9
A-6,Video evidence of Applicant cleaning a meth pipe and torch,Unknown,video meth pipe cleaning emma,mp4,SAFETY,10
A-8,Email from Applicant declaring intention to block total access to Harper,Unknown,email block access harper emma ryan,pdf,OBSTRUCTION,9
A-9,Call records/transcripts where Jane Ryan admits to and enforces denial of access,Unknown,jane ryan call transcript denial access,pdf,OBSTRUCTION,8
A-10,Financial records of e-transfers to alleged drug supplier,Unknown,etransfer drug supplier financial records,pdf,FINANCIAL,9
A-11,Acknowledgment of methamphetamine in breastmilk by Applicant,Unknown,meth breastmilk acknowledgment text,jpg,SAFETY,10
A-22,Detailed chronological contempt log tracking 18+ denied Sunday visits,2025-06-04,contempt log denied visits access,pdf,OBSTRUCTION,10
A-32,Photograph of Applicant with propane torch and meth pipe,2025-05-22,emma ryan torch meth pipe photo,jpg,SAFETY,10
A-56,Respondent's (Craig Schulz) negative drug test result,2025-01-31,craig schulz drug test negative,pdf,INTEGRITY,7
A-64,Jointly signed parenting plan document subsequently ignored by Applicant,2025-01-22,signed parenting plan agreement jan 22,pdf,INTEGRITY,8
A-79,Applicant's Official 2024 Notice of Assessment (NOA),2025-11-01,noa 2024 applicant financial accountability,pdf,FINANCIAL,6
A-1,AI Version of events transcribed video - 12092024,2024-12-09,ai version events transcribed video 12092024,png,COMMUNICATION,8
A-2,Craig's Identification,2025-09-03,craigs identification,png,INTEGRITY,5
A-3,Dad's Negative Drug Screen,2025-09-03,dads negative drug screen,png,SAFETY,9
A-4,Emma Affidavit Pages 1-2 of 17,2025-09-03,emma affidavit pages 1 2 of 17,png,PERJURY,7
A-5,Emma Apology Text 11222024,2024-11-22,emma apology text 11222024,png,COMMUNICATION,10
A-6,Emma Drug Screen Negative Dilute,2025-09-03,emma drug screen negative dilute,png,SAFETY,8
A-7,Emma Financial Example - Craig's pay being deposited,2025-09-03,emma financial example craigs pay deposited,png,FINANCIAL,7
A-8,Emma Meth Pipe 052425,2025-05-24,emma meth pipe 052425,png,SAFETY,10
A-9,Harper Bum Rash 12092024,2024-12-09,harper bum rash 12092024,png,SAFETY,9
A-10,March 24 Court Conference,2025-09-03,march 24 court conference,png,INTEGRITY,6
A-11,Tony Emma 12082024 Drugs,2024-12-08,tony emma 12082024 drugs,png,SAFETY,9
A-12,Gmail - Fwd: Subject Important Medical Information for Harper Ryan - Prenatal/Postnatal History,2025-06-22,gmail medical information harper ryan prenatal postnatal history,pdf,COMMUNICATION,8
A-13,Video 2025-01-08.MP4,2025-01-08,20250108 mp4,mp4,SAFETY,10
A-14,Emma email June 26th pickup confirmation,2025-06-28,emma email june 26th pickup,png,COMMUNICATION,5
A-15,Emma's reply to Christmas proposal,2025-07-02,emmas reply christmas proposal,html,COMMUNICATION,4
A-16,Emma Nick St Pierre 0524 Photoshop Analysis,2025-06-30,emma nick st pierre 0524 photoshop,pdf,PERJURY,9
A-1,"Police Records - Documentation of domestic abuse, substance abuse, or safety concerns",Unknown,police record arrest domestic abuse safety,pdf,SAFETY,9
A-2,Electronic Breathalyzer Results - Concrete data on alcohol consumption levels,Unknown,bactrack breathalyzer test result sobriety,pdf,INTEGRITY,10
A-3,Employment and School Records - Third-party proof of parental stability and responsibility,Unknown,employment school records stability attendance,pdf,INTEGRITY,8
A-4,Bank Records - patterns of spending related to substance use or financial responsibility,Unknown,bank statement spending patterns substance use,pdf,FINANCIAL,7
A-5,"Medical Records - Documentation of health issues, disabilities, or Substance Use Disorder",Unknown,medical records health diagnosis sud,pdf,SAFETY,9
A-6,Social Media Screenshots - Posts demonstrating disregard of custody terms or disparagement,Unknown,social media screenshot post disparagement,png,COMMUNICATION,6
A-7,"Personal Communications - Texts, emails, or letters relevant to parenting behavior",Unknown,texts emails letters communication behavior,pdf,COMMUNICATION,8
A-8,Social Services Reports - Investigations into child welfare ordered by the court,Unknown,social services report welfare investigation,pdf,SAFETY,10
A-9,Private Investigator Reports - Refutation or confirmation of claims made by the opposing party,Unknown,pi report investigator evidence search,pdf,INTEGRITY,7
A-10,Witness Statements - Testimony from neighbors or third parties regarding daily parenting life,Unknown,witness statement testimony parenting ability,pdf,INTEGRITY,5
A-11,Affidavit of Parental Preference - Expressed wishes of children over 10 or 12 years old,Unknown,child wishes affidavit preference,pdf,INTEGRITY,9
A-12,Evidence of Unilateral Action - Proof of parent moving first and asking permission later,Unknown,unilateral action move relocation evidence,pdf,OBSTRUCTION,7
A-1,Court Ruling - Re Hardy (1979) - Opinion on third bankruptcy being excessive,1979-01-01,re hardy court ruling bankruptcy integrity,pdf,INTEGRITY,7
A-2,Court Ruling - Re Resnick (1990) - Observation on cycle of repeat bankruptcies,1990-01-01,re resnick court ruling repeat bankruptcy,pdf,INTEGRITY,6
A-3,Court Case - Rogers (Trustee of) v. Canada (AG) - Refusal of fifth discharge due to tax arrears pattern,1989-01-01,rogers trustee canada ag fifth bankruptcy tax,pdf,FINANCIAL,9
A-4,OSB Statistical Report BKHQRA-2157 - Breakdown of repeat bankruptcies (2010-2012),2013-03-28,osb report bkhqra2157 repeat bankruptcy statistics,pdf,FINANCIAL,5
A-5,Court Ruling - Re Pitre (2009) - Priority of system integrity over rehabilitation,2009-01-01,re pitre court ruling integrity vs rehabilitation,pdf,INTEGRITY,8
A-6,Court Ruling - Re Willier (2005) - Test for concept of debtor recidivism,2005-01-01,re willier court ruling debtor recidivism,pdf,INTEGRITY,7
A-7,Court Ruling - Bank of Montreal v. Giannotti - Definitions of rehabilitation for honest debtors,2000-01-01,bank of montreal v giannotti court case,pdf,INTEGRITY,6
A-8,Court Ruling - Re Tang (2007) - Refusal of second discharge due to reckless behavior,2007-01-01,re tang court ruling reckless bankruptcy,pdf,INTEGRITY,8
A-9,Court Ruling - Re Martens (1994) - Critique of the BIA used as a 'convenient ink remover' for taxes,1994-01-01,re martens tax driven bankruptcy ruling,pdf,FINANCIAL,7
A-10,Evaluation of Mandatory Counselling Report - Audit and Evaluation Branch (2013),2013-01-01,aeb report mandatory counselling evaluation 2013,pdf,COMMUNICATION,4
A-11,Court Ruling - Re Garness (2004) - Comparison of bankrupt to 'SARS-like presence',2004-01-01,re garness economic quarantine ruling,pdf,INTEGRITY,8
