Exhibit Number,Description,Date,Category,Priority,File Type,Keywords,Legal Significance,Status,Source
A-3,Workshop Reports (46 sessions) - Provincial and territorial qualitative findings,2001-06-28,COMMUNICATION,6,pdf,workshop report provincial territorial consultation,Summarizes oral evidence and regional perspectives on Divorce Act changes,Original - Government Report,4
A-4,Report on Youth Workshops - Perspectives of children aged 10-17 on parental divorce,2001-06-21,SAFETY,8,pdf,youth workshop report children perspective divorce,Direct evidentiary materials reflecting the 'best interests of the child' directly from affected youth,Original - Appendix A,4
A-5,Report on Aboriginal Workshop - Indigenous views on traditional knowledge and custody,2001-06-25,INTEGRITY,7,pdf,aboriginal workshop report ottawa indigenous custom,Addresses cultural appropriateness and systemic barriers in the legal system for First Nations,Original - Appendix B,4
A-6,"Neilsen Report - Spousal Abuse, Children and the Legal System",2001-03-01,SAFETY,10,pdf,neilsen report spousal abuse legal system,Outlines critical recommendations for safety as a paramount concern in law,Copy - Supporting Document,4
A-7,Video: 'For the Sake of the Children' - Educational material for separating parents,Unknown,COMMUNICATION,4,mp4,video for the sake of the children education,Standardized educational tool cited by multiple jurisdictions as enabling good parenting,Copy,4
A-8,Special Joint Committee Report: 'For the Love of Children' - 48 Recommendations,1998-12-01,INTEGRITY,9,pdf,special joint committee report for the love of children,Fundamental source for current legislative reform proposals and parental responsibility concepts,Copy - Parliamentary Record,4
A-9,Submission from Provincial Advisory Council on the Status of Women - NF & Labrador,1998-05-25,SAFETY,7,pdf,nf labrador women advisory council brief,Formal submission emphasizing gender-based analysis of family law,Original - Supporting Brief,4
A-10,Léger Marketing Focus Group Report - Parental and child attitudes in Quebec,2001-06-01,COMMUNICATION,6,pdf,leger marketing focus group quebec,Empirical data on public perception of terms like 'parental authority' and 'responsibility',Original - Research Record,4
A-1,Photograph of Respondent Craig Schulz's black eye resulting from an assault by the Applicant.,2024-11-19,SAFETY,9,jpg,black eye photo craig assault,Direct physical evidence of domestic violence committed by the Applicant against the Respondent.,Original,5
A-2,Text message from Applicant Emma Ryan admitting to hitting the Respondent: 'I'm really sorry for hitting you Craig'.,2024-11-21,PERJURY,10,jpg,text apology hitting admission screenshot,Written admission of perpetrating physical violence; refutes Applicant's claims of being the sole victim.,Original - Screenshot,5
A-3,Text message from maternal grandmother Jane Ryan regarding a methamphetamine purchase for the Applicant.,2024-12-08,SAFETY,8,jpg,jane ryan meth purchase mailbox text,Proves maternal family enables illegal drug use in the child's home environment.,Original - Screenshot,5
A-4,Photographic evidence of infant Harper's severe and bleeding diaper rash while under Applicant's sole care.,2024-12-09,SAFETY,7,jpg,harper diaper rash neglect photo,Direct evidence of medical neglect while the child was in the Applicant's primary care.,Original,5
A-5,Video recording (L-1/L-2) of the December 9 assault and presence of methamphetamine smoke in the apartment.,2024-12-09,SAFETY,10,mp4,video assault meth smoke evidence,Forensic proof of family violence and child endangerment (drug smoke exposure).,Original - Video,5
A-6,Video/Photo of Applicant Emma Ryan with an active methamphetamine pipe and torch with infant Harper present.,2025-05-22,SAFETY,10,mp4,video emma meth pipe torch harper,Smoking gun evidence of active hard drug use while responsible for an infant.,Original - Video,5
A-7,Saint John Police File #25-2390069 regarding criminal assault charge against Emma Ryan.,2025-09-25,PERJURY,10,pdf,police file sjpf assault charge,Independent validation of Respondent as the victim of violence and Applicant as the aggressor.,Original - Government Record,5
A-8,Interim Court Order mandating Respondent's access rights (Sundays 8-4 PM).,2025-03-22,OBSTRUCTION,9,pdf,interim order court access schedule,The legal baseline for parenting time which the Applicant is in contempt of.,Copy,5
A-9,Access Denial Calendar Log documenting 129 consecutive days of denied access.,2025-10-10,OBSTRUCTION,9,pdf,access denial log contempt days,Quantifies the extent of the Applicant's willful contempt and parental alienation.,Original - Compiled Record,5
A-10,Email from Applicant Emma Ryan stating: 'You won't see Harper until we see a judge in October'.,2025-06-18,OBSTRUCTION,9,pdf,email access denial judge october,Evidence of pre-meditated and willful intent to violate a court order.,Original - Email,5
A-11,Financial records and E-transfers showing deposits to drug dealers by Applicant.,2025-05-31,FINANCIAL,8,pdf,etransfer drug dealer financial records,Documents diversion of funds intended for the child toward illicit substance acquisition.,Copy,5
A-12,Respondent's 13-panel drug test result (Negative).,2025-01-29,INTEGRITY,9,pdf,drug test negative craig results,Scientific verification of Respondent's sobriety and fitness as a parent.,Original - Lab Result,5
A-13,Applicant's drug test result (Negative-Dilute).,2025-01-06,INTEGRITY,9,pdf,emma drug test dilute result,Indicates an attempt to mask substance use; medically and legally unreliable.,Original - Lab Result,5
A-14,Applicant's Affidavit commissioned by Kerrie Ryan (sister-in-law).,2024-12-16,INTEGRITY,9,pdf,void affidavit kerrie ryan commissioner,Evidence of conflict of interest rendering the primary evidence legally void.,Copy,5
A-15,Recorded phone call where Jane Ryan states: 'If you want to see the baby you can take ME to court yourself'.,2025-10-22,OBSTRUCTION,8,mp4,recorded call jane ryan contempt,Admission of third-party interference and defiance of court-ordered access.,Original - Recording,5
A-1,Police Email - confirmation of Emma's arrest/assault charge confirmation,2025-09-26,PERJURY,10,pdf,9-26-25-emma-arrest-email,Proves criminal charge against applicant,Original - Government Record,6
A-2,Emma Assault Charge Email Confirmation (alternative version),2025-09-25,PERJURY,10,pdf,emma-assault-charge-email-confirmation,Direct confirmation of criminal conduct,Copy,6
A-3,Video of physical assault - Emma's punch incident,2024-11-19,SAFETY,10,mp4,emmapunch111924video,Direct evidence of domestic violence/physical assault,Original,6
A-4,Emergency Custody Filing - Affidavit documenting emergency conditions,2024-11-12,SAFETY,9,pdf,harperryan-emerg-custody-filing,Legal basis for emergency intervention,Original - Filing,6
A-5,Email documenting truth of the domestic situation,2025-10-08,COMMUNICATION,8,eml,truth,Documentation of facts relevant to custody,Original,6
A-6,Gmail - Urgent denial of court-ordered pickup for Harper,2025-07-13,OBSTRUCTION,9,pdf,denial-court-ordered-pickup,Evidence of interference with court-ordered visitation,Copy,6
A-7,Photo evidence of child rash potentially linked to care,2024-12-09,SAFETY,7,jpg,harper-rash,Evidence of child medical condition/care standards,Original,6
A-8,Formal Complaint Against Jacqueline Gallant - Conflict of Interest,2025-09-30,INTEGRITY,8,pdf,complaint-jacqueline-gallant-misconduct,Challenges professional integrity/neutrality of involved parties,Copy,6
A-9,Psychological Analysis of Emma's Email Behavior,2025-10-03,INTEGRITY,6,pdf,psychological-analysis-emma-behavior,Expert/expert-style analysis of mental state/behavioral patterns,Original,6
A-10,Text message screenshot - admission of lying or lie context,2025-08-02,PERJURY,9,pdf,emmalieexhibit754,Evidence of dishonest statements to the court,Screenshot,6
A-11,Video documentation of Emma assault incident,2025-11-30,SAFETY,10,mov,video-emmaassault-11-30-2025,Direct visual proof of assault,Original,6
A-12,Evidence log including Important Discussions July 11th,2025-07-22,COMMUNICATION,7,docx,custody-logged-july11th,Contemporaneous record of custody interactions,Original,6
A-13,Disclosure of wrongdoing form - Formal reporting,2025-09-30,OBSTRUCTION,8,pdf,wrongdoing-disclosure-form,Official record of reported system abuse,Original,6
A-14,NBASW Complaint Decision regarding Jacqueline Gallant,2025-03-06,INTEGRITY,8,pdf,nbasw-complaint-decision,Regulator's verdict on conduct of an involved professional,Copy,6
A-1,Glossary of Social Work Terms prepared for the Canadian Human Rights Commission by Michelle Sturtridge.,2013-02-01,COMMUNICATION,4,pdf,glossary social work terms commission sturtridge,Defines standardized terminology for the human rights inquiry.,Copy,7
A-2,First Nations Child and Family Services Joint National Policy Review Final Report by Dr. Rose-Alma MacDonald & Dr. Peter Ladd.,2000-01-01,INTEGRITY,8,pdf,national policy review final report macdonald ladd afn diand,Foundational evidence of known program gaps and discriminatory impacts.,Original - Government Record,7
A-3,"Department of Indian and Northern Affairs Canada, First Nations Child and Family Services National Program Manual.",2004-01-01,INTEGRITY,7,pdf,fncfs national program manual inac,Establishes the administrative and funding rules applied to First Nations agencies.,Copy - Government Record,7
A-4,Memorandum of Agreement Respecting Welfare Programs for Indians between Canada and Ontario (1965 Agreement).,1966-05-19,FINANCIAL,9,pdf,memorandum agreement welfare programs indians ontario 1965,Key legal document governing the unique welfare funding model in Ontario.,Original - Government Record,7
A-5,Wen:De We Are Coming to the Light of Day report by Dr. Cindy Blackstock et al.,2005-01-01,SAFETY,10,pdf,wende light of day blackstock fncfcs,Critical evidence showing Canada knew of funding inequities and child safety impacts.,Original,7
A-6,"May 2008 Report of the Auditor General of Canada to the House of Commons, Chapter 4, FNCFS Program.",2008-05-01,FINANCIAL,9,pdf,auditor general report 2008 chapter 4 fncfs inac,Independent oversight confirming systemic underfunding and lack of service comparability.,Copy - Government Record,7
A-7,Affidavit of Mr. Jeremy Kolodziej regarding the Indian Residential School Settlement Agreement (IRSSA).,2019-04-04,INTEGRITY,7,pdf,affidavit kolodziej irssa common experience payment,Provides a rationale for group-based compensation based on systemic harm.,Original - Affidavit,7
A-8,Fact Sheet – First Nations Child and Family Services (October 2006).,2006-10-01,COMMUNICATION,5,pdf,fact sheet fncfs inac 2006,Public communication illustrating the government's stance on service provision.,Copy,7
A-9,"Government of Canada, Statement of Apology to former students of Indian Residential Schools.",2008-06-11,INTEGRITY,6,pdf,statement apology residential schools 2008,Official admission of historical trauma impacting current child welfare needs.,Original - Government Record,7
A-10,Cross-examination of Corinne Baggley concerning delays in providing services (a bed) to a child with respiratory distress.,2014-05-01,SAFETY,10,pdf,baggley cross examination child respiratory bed delay,Direct evidence of life-threatening delays in service under Jordan's Principle.,Original - Transcript,7
A-11,Internal Memo: The Way Forward for the Federal Response to Jordan’s Principle – Proposed Definitions.,2016-02-11,OBSTRUCTION,10,pdf,way forward jordans principle proposed definitions memo,Proves Canada intentionally chose restrictive definitions despite Tribunal orders.,Original - Government Record,7
A-12,Email Exchange: First Nations mother and Health Canada regarding busing for a child with cerebral palsy.,2017-01-20,COMMUNICATION,9,png,email health canada cerebral palsy busing request,Demonstrates ongoing service navigation delays for vulnerable children.,Original - Screenshot,7
A-1,Volume of 169 documents produced by counsel for David Dunsmuir in the adjudication hearing against the Province of New Brunswick.,2005-01-10,COMMUNICATION,5,pdf,dunsmuir adjudication 169 documents volume,Includes evidence regarding the dismissal and performance history of the appellant used in a grievance procedure.,Original,8
A-2,Affidavit and documentary evidence submitted by Indian Bands supporting claims of aboriginal title and financial impecuniosity.,2000-01-01,FINANCIAL,8,pdf,bands affidavit aboriginal title financial evidence,Crucial for establishing the merit of the case and the necessity for interim costs in public interest litigation.,Original,8
A-3,"Personal Name Record (PNR) tracing the itinerary of Saief Mohammad and family, showing notes regarding mechanical failure and rebooking.",2007-06-21,COMMUNICATION,7,png,pnr air canada mohammad itinerary notes,Proves that Air Canada advised Kuwait Airways of the mechanical delay and the need for rebooking.,Screenshot - Digital Record,8
A-4,"Exhibit P-5: Documentation of travel expenses and upgrades for Saief Mohammad, Moona Mohammad, and Heeba Mohammad.",2007-08-25,FINANCIAL,6,jpg,exhibit p5 travel receipts kuwait airways,Used to document and calculate the financial damages for airfare and upgrades in a contract breach case.,Copy,8
A-5,"Passenger tickets for travel between Nigeria and the United States, bearing World Airways and Ritetime logos.",2003-12-01,FINANCIAL,9,pdf,world airways ritetime passenger ticket,Primary evidence of the contract of carriage and the appearance of authority between the carrier and travel agent.,Original,8
A-6,Email from Robert DuBois to the US Ambassador regarding the planned cessation of World Airways flights in Nigeria.,2003-12-01,OBSTRUCTION,10,pdf,dubois email ambassador confidential cessation,Direct evidence of the carrier's intent to hide the flight program termination to continue collecting money.,Original,8
A-7,Investigation report by the Canada Industrial Relations Board officer regarding job positions and bargaining unit inclusion.,2009-06-03,INTEGRITY,4,pdf,cirb investigation report job positions,Provides the detailed factual findings and principles for the Board's decision on labour unit structure.,Original - Government Record,8
A-8,Affidavit of a Ministerial delegate regarding the reliance on the Income Tax Act in refusing taxpayer relief.,2010-01-01,INTEGRITY,2,pdf,minister delegate affidavit income tax act,Attempted to supplement reasons for a decision after a judicial review challenge was launched; deemed inadmissible.,Original,8
A-9,Uncontested affidavit evidence submitted by the Consumers' Association of Canada (CAC) regarding membership fees and counsel status.,1980-01-04,FINANCIAL,5,pdf,cac affidavit membership fees counsel,"Established that fees were not allocated to rate hearings, prompting the Commission to award full costs.",Original,8
A-10,Reprimand letter to David Dunsmuir from the Regional Director regarding an inappropriate email to the Chief Justice.,2002-07-01,COMMUNICATION,3,pdf,dunsmuir reprimand letter chief justice email,Documents the start of disciplinary issues used by the employer to justify termination.,Original,8
A-1,Auditor General Spring 2024 Reports - Summary of spending and audits,2024-06-04,INTEGRITY,8,pdf,auditor general spring 2024 report,Statutory reports identifying systemic failures in government spending and policy compliance.,Original - Government Record,9
A-2,Auditor General Report on Sustainable Development Technology Canada (SDTC) - Green Slush Fund Scandal,2024-06-04,FINANCIAL,10,pdf,sdtc green slush fund auditor report conflict interest,Proves $123 million in ineligible funding and 90 cases of conflict-of-interest violations.,Original - Government Record,9
A-3,Auditor General Report on McKinsey Professional Services Contracts,2024-06-04,FINANCIAL,9,pdf,mckinsey professional services contract ag report,Documents $209 million in contracts where 70% were non-competitive and procurement rules were bypassed.,Original - Government Record,9
A-4,Order Paper Question Response - Corporate Handouts to Loblaws and Costco,2024-06-04,FINANCIAL,7,pdf,order paper loblaw costco corporate handouts 25 million,Evidence of $25.5 million in government subsidies given to profitable grocery giants during inflation.,Original - Government Record,9
A-5,Bread Price-Fixing Scheme Evidence - Historical Record,2024-06-04,INTEGRITY,8,pdf,bread price fixing scandal grocery collation,Admits to a decade-long scheme that overcharged Canadian families by approximately $400 each.,Copy - Historical Record,9
A-6,Nutrition North Program Performance Data and Study,2024-06-04,FINANCIAL,7,pdf,nutrition north subsidy north west company ceo bonus,Demonstrates that a large portion of northern subsidies (67 cents on the dollar) are retained by corporations rather than lowering food costs.,Original - Study Data,9
A-7,National Security and Intelligence Committee of Parliamentarians (NSICOP) Report on Foreign Interference,2024-06-03,INTEGRITY,10,pdf,nsicop foreign interference report parliamentarians,Alleges that current MPs are under the influence of foreign governments (China and India).,Original - Government Record,9
A-8,Mass Casualty Commission Report - Recommendations for Federal Policing,2024-06-04,SAFETY,6,pdf,mass casualty commission rcmp oversight recommendations,Expert recommendations on the necessity of transparent reporting and civilian oversight for the RCMP.,Copy - Government Record,9
A-9,B.C. Supreme Court Ruling on Fairy Creek RCMP Conduct,2021-08-01,OBSTRUCTION,7,pdf,bc supreme court fairy creek rcmp media exclusion,Judicial finding that RCMP checkpoints and media exclusion zones were unlawful.,Original - Judicial Record,9
A-10,Human Rights Watch Report: 'Those Who Take Us Away',2013-01-01,SAFETY,9,pdf,human rights watch rcmp indigenous women assault,Documents systematic violence and sexual assault of indigenous women by RCMP officers in B.C.,Copy - Third Party Report,9
A-1,Tenancy Agreement - Legal contract between tenant and landlord,Unknown,COMMUNICATION,8,pdf,tenancy agreement contract signed,Establishes the legal relationship and terms between landlord and tenant,Copy,10
A-2,Condition Inspection Report - Documentation of rental unit state at move-in/move-out,Unknown,INTEGRITY,7,pdf,condition inspection report movein moveout,Evidence of property condition to determine security deposit returns or damage claims,Original,10
A-3,"Notice of Hearing - RTB document with date, time, and method of dispute resolution",Unknown,COMMUNICATION,9,pdf,notice hearing rtb dispute,Formal notice of legal proceeding and procedural requirements,Original - Government Record,10
A-4,Medical Authorization - Form authorizing release of physical condition information,Unknown,INTEGRITY,6,pdf,medical authorization release records,Allows advocate to gather medical evidence for disability claims,Original,10
A-5,Dispute Resolution Decision - Legally-binding decision made by an RTB Arbitrator,Unknown,INTEGRITY,10,pdf,rtb decision arbitrator binding,Final legal determination of a tenancy dispute,Original - Government Record,10
A-6,Writ of Possession - BC Supreme Court document to legally remove a tenant,Unknown,SAFETY,10,pdf,writ possession supreme court eviction,Authorized court order for physical eviction,Original - Government Record,10
A-7,1 Month Notice to End Tenancy - Eviction notice for cause (noise/hoarding),2021-05-07,SAFETY,9,pdf,eviction notice cause noise hoarding,Legal instrument used to attempt termination of tenancy,Copy,10
A-8,Statement of Contributions - Record of CPP earnings and contributions,Unknown,FINANCIAL,8,pdf,cpp statement contributions earnings mqp,Determines eligibility for federal disability benefits based on work history,Original - Government Record,10
A-9,Retainer Agreement - Contract for legal advocacy services,Unknown,COMMUNICATION,5,pdf,retainer agreement advocate client,Defines the scope of legal representation and duty of loyalty,Original,10
A-10,Digital Evidence - Photographs of suite condition after repairs,2021-05-01,INTEGRITY,8,jpg,photos suite condition evidence,Visual proof to counter allegations of property damage or risk,Original,10
A-1,Ontario Court Services Division Annual Report 2008/2009,2009-04-30,FINANCIAL,4,pdf,ontario court services division annual report 2008 2009,Statistical context for family law proceedings in Ontario,Copy,11
A-2,Katelynn Sampson Custody Order - Court File No. F0-07-11277-00,2008-06-06,SAFETY,10,pdf,katelynn sampson custody order transer donna irving,Proves the legal transfer of custody to an abusive caregiver leading to a fatality,Original - Government Record,11
A-3,Short note to the Court from 14-year-old child in T.B.M. v. C.J.M.,2009-01-01,COMMUNICATION,6,jpg,child note speak court confusion tbm cjm,Attempt by child to provide direct evidence to clear up confusion,Original,11
A-4,Police Record - Assault Charges against Donna Irving and Wayne Johnson,2008-08-03,SAFETY,10,pdf,police record assault murder charges katelynn sampson,Proves criminal charges following child safety failure,Copy - Government Record,11
A-5,Ontario Family Mediation Service RFP - Request for Proposals,2011-01-01,INTEGRITY,5,pdf,ontario family mediation service rfp request proposals,Outlines mandatory screening protocols for domestic violence,Copy,11
A-6,Ellen Gesmer's 'Custody Speech' - Judicial Campaign Material,2010-09-28,COMMUNICATION,7,pdf,ellen gesmer custody speech settlement pre trial,Documents the informal judicial settlement mission and its messaging,Screenshot - Campaign Material,11
A-7,Undated note from child to mother's affidavit in E.A. v. D.D.P.,Unknown,COMMUNICATION,3,jpg,undated child note affidavit ea ddp,Evidence of child's voice presented via parent's affidavit,Screenshot,11
A-8,Statistics Canada - Income of Canadians Report,2009-06-03,FINANCIAL,2,pdf,statistics canada income canadians 2007,Used to establish financial barriers to legal representation,Copy,11
A-1,Screenshot showing potential custody related evidence,2025-07-16,COMMUNICATION,5,png,screenshot 20250716 000155,Evidentiary record of interactions related to custody candidate status,Original - Screenshot,12
A-2,Screenshot record for custody dispute,2025-07-15,COMMUNICATION,5,png,screenshot 20250715 012142,Evidence of communication patterns or events for custody case,Original - Screenshot,12
A-3,"Interim Order Ryan v. Schulz - March 24, 2025",2025-03-24,INTEGRITY,8,pdf,fdsj7392024 ryan schulz interim order,Formal court directive governing custody or conduct,Copy - Government Record,12
A-4,Emergency Custody Filing Affidavit - Transcribed,2024-11-12,SAFETY,9,pdf,harperryan 11122024 emerg custody filing transcribed,Transcribed sworn statements regarding child safety and emergency needs,Copy,12
A-5,Emma Assault Charge Email Confirmation,2025-09-25,PERJURY,10,pdf,emma assault charge email confirmation,Proves criminal charge against applicant; critical for fitness assessment,Original,12
A-6,Emma Arrest Email,2025-09-26,SAFETY,10,pdf,92625 emma arrest email,Direct evidence of law enforcement involvement and arrest of party,Original,12
A-7,"Video of Emma Assault - November 30, 2025",2025-11-30,SAFETY,10,mov,video emmaassault 11302025,Visual evidence of physical assault; smoking gun for safety concerns,Original,12
A-8,Harper Rash Record,2024-12-09,SAFETY,7,jpg,harper rash 12092024,Evidence of child's medical condition or neglect,Original,12
A-9,Voluntary Child Support Offer - Craig Schulz,2025-10-08,FINANCIAL,6,docx,voluntary child support offer updated craig schulz,Demonstrates financial responsibility and intent to provide support,Original,12
A-10,Psychological Analysis of Email Behavior,2025-10-03,COMMUNICATION,7,pdf,psychological analysis emma email behavior,Expert or analytical insight into party's mental state/harassment,Copy,12
A-11,Formal Complaint Against Jacqueline Gallant - Conflict of Interest,2025-09-30,INTEGRITY,8,pdf,formal complaint jacqueline gallant conflict interest,Challenges professional integrity/bias in the case process,Original,12
A-12,Emma Punch Video,2024-11-19,SAFETY,10,mp4,emmapunch 111924 video,Direct evidence of physical violence,Original,12
A-13,Emma Update Full Email Archive,2025-09-03,COMMUNICATION,5,pdf,0903emmaupdatefullemail,Comprehensive log of communications regarding case updates,Copy,12
A-14,Statement of Position for Case Conference,2025-10-06,INTEGRITY,7,docx,statement position case conference,Outlines formal legal stance and demands of the respondent,Original,12
A-15,Urgent Medical History and Substance Exposure Info,2025-06-19,SAFETY,9,pdf,urgent information harper ryan medical history substance exposure,Critical health information regarding prenatal/postnatal child risks,Original,12
A-1,Text message acknowledging debt,2016-06-02,COMMUNICATION,10,jpg,text message debt acknowledgement,Resets the limitation period for the claim under section 13 of the Limitations Act.,Original - Digital Signature,13
A-2,Record of non-consummation based on religious belief,2021-11-10,INTEGRITY,8,pdf,annulment religious belief non-consummation,Establishes psychological incapacity for marriage annulment based on sincere religious norms.,Original,13
A-3,Mother's withholding of children's health cards and ID,2021-10-28,SAFETY,7,pdf,health card withholding vaccination,Evidence of mother's obstruction regarding child's best interests for medical treatment.,Original,13
A-4,Intimate and private photographs posted online without consent,2016-12-31,SAFETY,10,jpg,private photographs online harassment,Basis for the newly recognized tort of public disclosure of private information.,Screenshot - Digital Record,13
A-5,With prejudice settlement offer regarding children's return to Dubai,2020-11-01,COMMUNICATION,9,pdf,settlement offer dubai child return,Terms included in a section 40 order for child return in abduction cases.,Original,13
A-6,RCMP investigation report on sexual abuse allegations,2021-02-11,PERJURY,10,pdf,rcmp investigation false allegations,Proves the mother made false allegations to obstruct parenting time.,Original - Police Record,13
A-7,Marriage Contract signed with Independent Legal Advice,2016-01-01,FINANCIAL,9,pdf,marriage contract disclosure,Excludes the matrimonial home from equalization; upheld despite disclosure challenges.,Original,13
A-8,Financial Statements for high income support calculation,2021-02-01,FINANCIAL,8,pdf,financial statement high income support,Used to calculate spousal support based on $1.8 million annual income.,Original,13
A-9,Zoom trial audio of unidentified male regarding 'soft' drugs,2021-02-01,SAFETY,6,mp4,zoom audio drugs recording,Raised concerns of drug involvement and witness influence; led to mistrial motion.,Digital Recording,13
